year,flow,cmd_code,cmd_desc,partner_iso3,partner,value_usd
2000,M,10,Cereales (trigo),ARG,Argentina,23724428.0
2000,M,10,Cereales (trigo),BRA,Brasil,5212888.0
2000,M,10,Cereales (trigo),ROW,Resto del mundo,14475920.0
2000,M,10,Cereales (trigo),USA,Estados Unidos,11486764.0
2000,M,27,"Combustibles (diesel, gasolinas)",ARG,Argentina,43192168.0
2000,M,27,"Combustibles (diesel, gasolinas)",CHL,Chile,53300906.0
2000,M,27,"Combustibles (diesel, gasolinas)",PER,Peru,22184508.0
2000,M,27,"Combustibles (diesel, gasolinas)",ROW,Resto del mundo,71569127.0
2000,M,27,"Combustibles (diesel, gasolinas)",USA,Estados Unidos,47653291.0
2000,M,30,Productos farmaceuticos,ARG,Argentina,9279095.0
2000,M,30,Productos farmaceuticos,CHN,China,10600934.0
2000,M,30,Productos farmaceuticos,DEU,Alemania,10424616.0
2000,M,30,Productos farmaceuticos,ROW,Resto del mundo,44745242.0
2000,M,30,Productos farmaceuticos,USA,Estados Unidos,16450112.0
2000,M,31,Abonos (fertilizantes),CHN,China,15318694.0
2000,M,31,Abonos (fertilizantes),ROW,Resto del mundo,39283826.0
2000,M,31,Abonos (fertilizantes),RUS,Rusia,10352619.0
2000,M,31,Abonos (fertilizantes),USA,Estados Unidos,8244861.0
2000,M,39,Plasticos y sus manufacturas,BRA,Brasil,28448012.0
2000,M,39,Plasticos y sus manufacturas,CHN,China,33932841.0
2000,M,39,Plasticos y sus manufacturas,ROW,Resto del mundo,52705226.0
2000,M,39,Plasticos y sus manufacturas,USA,Estados Unidos,13013921.0
2000,M,72,"Fundicion, hierro y acero",BRA,Brasil,31618794.0
2000,M,72,"Fundicion, hierro y acero",CHN,China,40972944.0
2000,M,72,"Fundicion, hierro y acero",PER,Peru,11873827.0
2000,M,72,"Fundicion, hierro y acero",ROW,Resto del mundo,43634434.0
2000,M,84,Maquinas y aparatos mecanicos,BRA,Brasil,62806417.0
2000,M,84,Maquinas y aparatos mecanicos,CHN,China,95950778.0
2000,M,84,Maquinas y aparatos mecanicos,DEU,Alemania,28970917.0
2000,M,84,Maquinas y aparatos mecanicos,ROW,Resto del mundo,91095940.0
2000,M,84,Maquinas y aparatos mecanicos,USA,Estados Unidos,50575949.0
2000,M,85,Maquinas y material electrico,BRA,Brasil,24807954.0
2000,M,85,Maquinas y material electrico,CHN,China,87429322.0
2000,M,85,Maquinas y material electrico,ROW,Resto del mundo,84492590.0
2000,M,85,Maquinas y material electrico,USA,Estados Unidos,22870134.0
2000,M,87,Vehiculos automoviles y partes,BRA,Brasil,37511595.0
2000,M,87,Vehiculos automoviles y partes,CHN,China,68974734.0
2000,M,87,Vehiculos automoviles y partes,JPN,Japon,48269657.0
2000,M,87,Vehiculos automoviles y partes,ROW,Resto del mundo,78278897.0
2000,M,87,Vehiculos automoviles y partes,USA,Estados Unidos,23165117.0
2000,M,99,Otros productos no especificados,BRA,Brasil,52653788.0
2000,M,99,Otros productos no especificados,CHN,China,61659771.0
2000,M,99,Otros productos no especificados,PER,Peru,31564631.0
2000,M,99,Otros productos no especificados,ROW,Resto del mundo,133841497.0
2000,M,99,Otros productos no especificados,USA,Estados Unidos,31380312.0
2000,X,02,Carnes (bovina),CHN,China,3383882.0
2000,X,02,Carnes (bovina),ECU,Ecuador,242484.0
2000,X,02,Carnes (bovina),PER,Peru,433287.0
2000,X,02,Carnes (bovina),ROW,Resto del mundo,695494.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),ARG,Argentina,173732.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),CAN,Canada,202934.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),ESP,Espania,2332350.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),GBR,Reino Unido,4914121.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),KOR,Corea del Sur,148631.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),NLD,Paises Bajos,4426017.0
2000,X,08,Frutas y frutos (castania / nuez del Brasil),ROW,Resto del mundo,8878915.0
