country_iso3,country,isic2,sector_name,productivity_usd,employment,output_usd,exports_usd
ARG,Argentina,15,Alimentos y bebidas,60214.1,22729,1368607021.0,769170778.0
ARG,Argentina,17,Textiles,27236.3,34970,952451723.0,0.0
ARG,Argentina,18,Prendas de vestir,17053.9,33233,566750782.0,0.0
ARG,Argentina,19,Cuero y calzado,31069.1,29733,923777371.0,7322580.0
ARG,Argentina,20,Madera y corcho,45486.5,28832,1311466111.0,39079643.0
ARG,Argentina,21,Papel y celulosa,34392.5,23564,810426013.0,0.0
ARG,Argentina,24,Sustancias y prod. quimicos,51721.3,18591,961550265.0,0.0
ARG,Argentina,25,Caucho y plastico,40788.5,28598,1166470022.0,36404385.0
ARG,Argentina,26,Minerales no metalicos,45277.5,35250,1596030783.0,19959577.0
ARG,Argentina,27,Metales comunes (basicos),87543.0,23142,2025919972.0,6291316792.0
ARG,Argentina,28,Productos metalicos,61215.0,21526,1317714545.0,0.0
ARG,Argentina,29,Maquinaria y equipo,73441.3,15849,1163971185.0,2764014335.0
ARG,Argentina,30,Maquinaria de oficina/comp.,52819.1,19795,1045553338.0,318199192.0
ARG,Argentina,31,Maquinaria electrica,83560.0,16088,1344313388.0,2912851838.0
ARG,Argentina,32,Equipo de comunicaciones,53837.9,25249,1359352917.0,0.0
ARG,Argentina,33,Instrumentos de precision,60114.0,11642,699846765.0,446894668.0
ARG,Argentina,34,Vehiculos automotores,82291.3,22574,1857643918.0,4905727262.0
ARG,Argentina,35,Otro equipo de transporte,92352.8,20314,1876054195.0,8234465369.0
ARG,Argentina,36,Muebles y otras manuf.,22775.4,26938,613522573.0,0.0
BOL,Bolivia,15,Alimentos y bebidas,39889.5,1981,79021192.0,93868669.0
BOL,Bolivia,17,Textiles,21055.4,2145,45163761.0,0.0
BOL,Bolivia,18,Prendas de vestir,17496.4,2280,39891852.0,59979.0
BOL,Bolivia,19,Cuero y calzado,20614.9,2440,50300385.0,118443.0
BOL,Bolivia,20,Madera y corcho,78149.4,1858,145201613.0,1715772538.0
BOL,Bolivia,21,Papel y celulosa,20758.2,1670,34666169.0,0.0
BOL,Bolivia,24,Sustancias y prod. quimicos,16648.5,1336,22242341.0,0.0
BOL,Bolivia,25,Caucho y plastico,27997.6,2169,60726756.0,2336197.0
BOL,Bolivia,26,Minerales no metalicos,39491.5,2046,80799637.0,31641463.0
BOL,Bolivia,27,Metales comunes (basicos),51867.1,1038,53838044.0,188240905.0
BOL,Bolivia,28,Productos metalicos,35162.8,1995,70149847.0,12827453.0
BOL,Bolivia,29,Maquinaria y equipo,15838.5,1852,29332811.0,0.0
BOL,Bolivia,30,Maquinaria de oficina/comp.,20617.8,1284,26473263.0,0.0
BOL,Bolivia,31,Maquinaria electrica,53697.1,1185,63631051.0,144883677.0
BOL,Bolivia,32,Equipo de comunicaciones,22502.8,1706,38389694.0,0.0
BOL,Bolivia,33,Instrumentos de precision,19623.2,1350,26491350.0,143300.0
BOL,Bolivia,34,Vehiculos automotores,22987.1,770,17700085.0,0.0
BOL,Bolivia,35,Otro equipo de transporte,19468.1,1209,23536896.0,0.0
BOL,Bolivia,36,Muebles y otras manuf.,32935.6,2641,86982873.0,7046182.0
BRA,Brasil,15,Alimentos y bebidas,67916.7,134157,9111499048.0,366093433.0
BRA,Brasil,17,Textiles,32046.2,108114,3464646909.0,515220.0
BRA,Brasil,18,Prendas de vestir,22312.2,136818,3052712398.0,69529.0
BRA,Brasil,19,Cuero y calzado,16116.8,85496,1377926145.0,0.0
BRA,Brasil,20,Madera y corcho,39874.9,108836,4339822216.0,2635136.0
BRA,Brasil,21,Papel y celulosa,41465.1,64136,2659403134.0,7912626.0
BRA,Brasil,24,Sustancias y prod. quimicos,35851.1,64648,2317701155.0,0.0
BRA,Brasil,25,Caucho y plastico,36044.7,67641,2438101040.0,1673264.0
BRA,Brasil,26,Minerales no metalicos,38089.2,92580,3526294835.0,1863979.0
BRA,Brasil,27,Metales comunes (basicos),52477.8,75759,3975667922.0,69773694.0
BRA,Brasil,28,Productos metalicos,71037.8,109728,7794837530.0,706045124.0
BRA,Brasil,29,Maquinaria y equipo,57973.1,54972,3186894940.0,174479475.0
BRA,Brasil,30,Maquinaria de oficina/comp.,50092.6,75388,3776378265.0,0.0
BRA,Brasil,31,Maquinaria electrica,33290.1,85127,2833883178.0,4110520.0
BRA,Brasil,32,Equipo de comunicaciones,154771.8,78413,12136118970.0,108393403433.0
BRA,Brasil,33,Instrumentos de precision,56240.5,90180,5071764111.0,36758866.0
BRA,Brasil,34,Vehiculos automotores,46817.6,55378,2592667714.0,47123889.0
BRA,Brasil,35,Otro equipo de transporte,46147.9,49302,2275183918.0,6977773.0
BRA,Brasil,36,Muebles y otras manuf.,50990.1,89901,4584063820.0,31363410.0
CHL,Chile,15,Alimentos y bebidas,66382.1,15775,1047177202.0,179287766.0
CHL,Chile,17,Textiles,35588.0,13424,477733099.0,1126164.0
CHL,Chile,18,Prendas de vestir,21673.5,25049,542898290.0,0.0
CHL,Chile,19,Cuero y calzado,38645.4,24973,965091031.0,0.0
CHL,Chile,20,Madera y corcho,56438.8,31621,1784651680.0,17100302.0
CHL,Chile,21,Papel y celulosa,51024.8,14570,743431396.0,0.0
CHL,Chile,24,Sustancias y prod. quimicos,98000.5,18482,1811244631.0,4082585343.0
CHL,Chile,25,Caucho y plastico,62629.3,16423,1028561430.0,0.0
CHL,Chile,26,Minerales no metalicos,35920.2,20718,744194274.0,0.0
CHL,Chile,27,Metales comunes (basicos),115667.9,18785,2172822103.0,14508377192.0
CHL,Chile,28,Productos metalicos,50716.3,24436,1239303697.0,0.0
CHL,Chile,29,Maquinaria y equipo,47839.8,15750,753476387.0,0.0
CHL,Chile,30,Maquinaria de oficina/comp.,58078.9,14877,864039073.0,0.0
CHL,Chile,31,Maquinaria electrica,73369.1,18293,1342141616.0,309839655.0
CHL,Chile,32,Equipo de comunicaciones,62517.9,12962,810357531.0,0.0
CHL,Chile,33,Instrumentos de precision,38400.3,18177,698001805.0,0.0
CHL,Chile,34,Vehiculos automotores,102365.1,9183,940018287.0,2276487888.0
CHL,Chile,35,Otro equipo de transporte,86738.7,19926,1728355619.0,3366212006.0
CHL,Chile,36,Muebles y otras manuf.,32496.0,27878,905922232.0,0.0
CHN,China,15,Alimentos y bebidas,38611.7,1417371,54727134988.0,1884875990.0
CHN,China,17,Textiles,56122.7,2111540,118505384751.0,9461619356.0
CHN,China,18,Prendas de vestir,43112.9,2139410,92236263600.0,2610951157.0
CHN,China,19,Cuero y calzado,26160.9,2158840,56477290162.0,17541707.0
CHN,China,20,Madera y corcho,37564.7,1550619,58248605386.0,746561730.0
CHN,China,21,Papel y celulosa,47124.3,1348313,63538246349.0,1798929064.0
CHN,China,24,Sustancias y prod. quimicos,37200.3,989120,36795551785.0,1098742495.0
CHN,China,25,Caucho y plastico,93638.4,1595506,149400628606.0,235938723469.0
CHN,China,26,Minerales no metalicos,56029.3,1938599,108618384470.0,6946708317.0
CHN,China,27,Metales comunes (basicos),52936.3,1592269,84288895045.0,0.0
CHN,China,28,Productos metalicos,44291.1,1580262,69991590014.0,4014242243.0
CHN,China,29,Maquinaria y equipo,28501.5,1990461,56731119358.0,88667365.0
CHN,China,30,Maquinaria de oficina/comp.,123128.0,1016960,125216267548.0,1492493360390.0
CHN,China,31,Maquinaria electrica,54930.0,1317925,72393665556.0,19704970012.0
CHN,China,32,Equipo de comunicaciones,56253.5,964184,54238718471.0,0.0
CHN,China,33,Instrumentos de precision,85062.6,1117395,95048523009.0,91322296246.0
CHN,China,34,Vehiculos automotores,43397.5,1023732,44427384687.0,2783312841.0
CHN,China,35,Otro equipo de transporte,26009.2,904643,23529055946.0,55903077.0
CHN,China,36,Muebles y otras manuf.,40451.9,1438289,58181561143.0,1734341836.0
COL,Colombia,15,Alimentos y bebidas,54254.8,18019,977616529.0,454257793.0
COL,Colombia,17,Textiles,23952.5,14138,338640939.0,934586.0
COL,Colombia,18,Prendas de vestir,24620.7,27203,669758029.0,1262716.0
COL,Colombia,19,Cuero y calzado,23846.0,19637,468264489.0,0.0
COL,Colombia,20,Madera y corcho,29516.6,18442,544344477.0,1705507.0
COL,Colombia,21,Papel y celulosa,47543.1,18925,899753627.0,85196504.0
COL,Colombia,24,Sustancias y prod. quimicos,77377.4,11588,896649282.0,4806713540.0
COL,Colombia,25,Caucho y plastico,63040.0,14888,938539982.0,1213445329.0
COL,Colombia,26,Minerales no metalicos,34728.1,15866,550995261.0,6372892.0
COL,Colombia,27,Metales comunes (basicos),33047.9,18691,617697690.0,0.0
COL,Colombia,28,Productos metalicos,23254.5,20105,467531091.0,0.0
COL,Colombia,29,Maquinaria y equipo,71980.8,13116,944100155.0,1714900891.0
COL,Colombia,30,Maquinaria de oficina/comp.,76970.0,14189,1092126695.0,1081429355.0
COL,Colombia,31,Maquinaria electrica,55356.1,15349,849661075.0,163988180.0
COL,Colombia,32,Equipo de comunicaciones,76291.5,14044,1071438271.0,2538266332.0
COL,Colombia,33,Instrumentos de precision,88256.4,15257,1346528429.0,2980973145.0
COL,Colombia,34,Vehiculos automotores,48949.0,13014,637022365.0,0.0
COL,Colombia,35,Otro equipo de transporte,88432.0,14336,1267761221.0,4481660544.0
COL,Colombia,36,Muebles y otras manuf.,32396.4,12796,414544354.0,4953664.0
DEU,Alemania,15,Alimentos y bebidas,122894.4,1193408,146663114423.0,8380918809.0
DEU,Alemania,17,Textiles,85267.5,1333222,113680451888.0,0.0
DEU,Alemania,18,Prendas de vestir,50844.9,1349548,68617594812.0,0.0
DEU,Alemania,19,Cuero y calzado,50807.1,1375532,69886760202.0,0.0
DEU,Alemania,20,Madera y corcho,77796.6,1373115,106823729074.0,41064808.0
DEU,Alemania,21,Papel y celulosa,71557.9,883619,63229890647.0,0.0
DEU,Alemania,24,Sustancias y prod. quimicos,136405.3,800142,109143595348.0,9158813590.0
DEU,Alemania,25,Caucho y plastico,85753.8,1185357,101648828660.0,0.0
DEU,Alemania,26,Minerales no metalicos,257082.4,681411,175178794417.0,254792028494.0
DEU,Alemania,27,Metales comunes (basicos),153047.9,703743,107706420763.0,28709627007.0
DEU,Alemania,28,Productos metalicos,65395.3,628389,41093666027.0,35023499.0
DEU,Alemania,29,Maquinaria y equipo,139644.7,1686745,235545047031.0,3284171514.0
DEU,Alemania,30,Maquinaria de oficina/comp.,191830.7,465672,89330175519.0,76723357268.0
DEU,Alemania,31,Maquinaria electrica,131863.5,999439,131789562118.0,2535436449.0
DEU,Alemania,32,Equipo de comunicaciones,30199.8,670522,20249631400.0,588541.0
DEU,Alemania,33,Instrumentos de precision,208320.2,805735,167850897364.0,113644718261.0
DEU,Alemania,34,Vehiculos automotores,240323.6,966584,232292966372.0,601105222674.0
DEU,Alemania,35,Otro equipo de transporte,105688.1,1057134,111726470860.0,627177465.0
DEU,Alemania,36,Muebles y otras manuf.,107343.1,894262,95992850710.0,397592738.0
ECU,Ecuador,15,Alimentos y bebidas,36763.1,4071,149662683.0,12016722.0
ECU,Ecuador,17,Textiles,21969.8,5972,131203568.0,588017.0
ECU,Ecuador,18,Prendas de vestir,16969.4,3521,59749140.0,0.0
ECU,Ecuador,19,Cuero y calzado,20429.2,5430,110930419.0,140004.0
ECU,Ecuador,20,Madera y corcho,13791.2,4244,58529720.0,13952.0
ECU,Ecuador,21,Papel y celulosa,32521.7,5858,190512281.0,2812500.0
ECU,Ecuador,24,Sustancias y prod. quimicos,89112.1,3902,347715257.0,4810592148.0
ECU,Ecuador,25,Caucho y plastico,23165.7,4251,98477304.0,0.0
ECU,Ecuador,26,Minerales no metalicos,29376.8,5503,161660678.0,3081333.0
