country_iso3,country,gdp,K,L,hc,H,delta_c,F_K,F_L,F_H
USA,Estados Unidos,21000,84000.0,160.0,3.7,592.0,1.0,0.2297,-0.0012,0.0586
DEU,Alemania,4200,16800.0,43.0,3.6,154.8,0.744,0.0204,-0.0092,0.006
JPN,Japon,5100,20910.0,68.0,3.5,238.0,0.571,0.008,0.0008,0.0112
KOR,Corea del Sur,2100,8400.0,27.0,3.6,97.2,0.593,0.0065,-0.0009,0.009
FRA,Francia,2900,11310.0,29.0,3.4,98.6,0.762,0.0153,0.0004,-0.0016
GBR,Reino Unido,3000,11100.0,33.0,3.5,115.5,0.693,0.0112,0.0077,-0.0035
ITA,Italia,2300,8740.0,24.0,3.1,74.4,0.73,0.0149,0.0009,0.0005
ESP,Espania,1700,6460.0,20.0,3.2,64.0,0.648,0.0093,0.0014,0.0002
CAN,Canada,1800,6840.0,19.0,3.6,68.4,0.722,0.0104,0.003,0.0003
AUS,Australia,1300,4940.0,13.0,3.6,46.8,0.762,0.0046,-0.0013,0.0065
NLD,Paises Bajos,950,3705.0,9.0,3.6,32.4,0.804,0.0025,-0.0033,0.0066
CHE,Suiza,600,2520.0,5.0,3.7,18.5,0.914,0.0021,-0.0037,-0.001
CHN,China,23000,73600.0,780.0,2.4,1872.0,0.225,-0.1478,0.0038,-0.039
IND,India,9000,18000.0,470.0,1.7,799.0,0.146,-0.078,0.0025,-0.0342
IDN,Indonesia,3100,7440.0,130.0,2.0,260.0,0.182,-0.0292,-0.0024,-0.0116
BRA,Brasil,3200,7680.0,100.0,2.3,230.0,0.244,-0.0283,0.0058,-0.0133
MEX,Mexico,2400,5520.0,56.0,2.2,123.2,0.327,-0.0133,0.0009,-0.0059
TUR,Turquia,2200,5720.0,29.0,2.2,63.8,0.578,-0.014,-0.0067,-0.0097
THA,Tailandia,1300,3510.0,38.0,2.0,76.0,0.261,-0.0092,0.003,-0.0023
VNM,Vietnam,1000,2300.0,55.0,1.9,104.5,0.139,-0.0064,-0.0007,-0.0059
ZAF,Sudafrica,760,1824.0,16.0,2.2,35.2,0.362,-0.0091,-0.0066,-0.0027
EGY,Egipto,1200,2400.0,28.0,1.9,53.2,0.327,-0.0136,0.0026,-0.0015
PHL,Filipinas,950,1995.0,44.0,2.2,96.8,0.165,-0.0117,-0.0017,-0.0028
ARG,Argentina,1000,2400.0,19.0,2.7,51.3,0.401,-0.0018,-0.002,-0.0037
CHL,Chile,470,1269.0,9.0,2.7,24.3,0.398,-0.0027,0.0029,-0.0053
COL,Colombia,720,1584.0,23.0,2.1,48.3,0.239,-0.0147,-0.011,0.0067
PER,Peru,430,989.0,18.0,2.0,36.0,0.182,-0.0055,-0.0064,0.0042
ECU,Ecuador,190,418.0,8.0,2.0,16.0,0.181,0.0035,-0.0021,-0.0081
BOL,Bolivia,95,180.0,5.7,1.9,10.8,0.127,0.0041,0.0012,-0.0056
PRY,Paraguay,95,190.0,3.5,1.9,6.6,0.207,0.0024,-0.0033,0.0026
